E,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39
0.187517,0.00691267,0.0180125,0.0296624,0.0419355,0.0552682,0.0693421,0.0840848,0.0994401,0.115996,0.133412,0.151543,0.170339,0.190198,0.211363,0.232969,0.255572,0.279167,0.303384,0.329324,0.355788,0.446794,0.551051,0.664448,0.787935,0.919431,1.05905,1.21016,1.36763,1.52793,1.68135,1.86795,2.04633,2.20283,2.41087,3.13039,3.8867,4.57563,5.23175,5.81707
0.215906,0.00942987,0.0244571,0.0402153,0.0573092,0.075434,0.0943556,0.114148,0.135272,0.157655,0.180961,0.20499,0.230424,0.257374,0.285442,0.313986,0.344105,0.375222,0.408289,0.441201,0.475791,0.599853,0.733634,0.87942,1.03631,1.20552,1.38324,1.57369,1.76687,1.95749,2.17234,2.39785,2.59405,2.82646,3.05611,3.94901,4.84716,5.66666,6.42747,7.12071
0.248593,0.0126473,0.032711,0.0544041,0.0774579,0.10156,0.126692,0.15342,0.181917,0.211367,0.24205,0.274005,0.307978,0.343124,0.379175,0.417419,0.456473,0.497951,0.539822,0.58323,0.628555,0.784556,0.95595,1.14356,1.34399,1.55587,1.77812,2.01076,2.24135,2.49333,2.75836,3.01509,3.26239,3.55618,3.80962,4.90066,5.93625,6.92285,7.77777,8.54587
0.286229,0.0166465,0.0438315,0.0727494,0.103061,0.134605,0.168258,0.203808,0.240694,0.278832,0.319273,0.361056,0.405211,0.450365,0.497516,0.546108,0.597496,0.649443,0.703502,0.759383,0.816572,1.01679,1.23357,1.46565,1.71256,1.97377,2.24401,2.51983,2.81769,3.12968,3.43972,3.72216,4.06748,4.38426,4.67563,5.97642,7.1598,8.29167,9.27448,10.0799
0.329562,0.0222763,0.0580681,0.0956253,0.134691,0.176174,0.219932,0.265476,0.312569,0.361973,0.414051,0.467521,0.522994,0.580433,0.640683,0.702581,0.766319,0.831704,0.899513,0.969104,1.0414,1.28975,1.55647,1.84083,2.14274,2.45888,2.78782,3.13083,3.49076,3.84943,4.19312,4.56868,4.95496,5.29612,5.69489,7.14397,8.5285,9.75337,10.8454,11.7595
0.379457,0.0288229,0.074649,0.1223,0.172661,0.225951,0.281375,0.338498,0.398589,0.461362,0.526561,0.593537,0.663103,0.73531,0.809907,0.886969,0.965713,1.04729,1.13174,1.21827,1.30616,1.60857,1.93325,2.27936,2.64028,3.01685,3.4118,3.81805,4.23048,4.63643,5.04961,5.49694,5.91515,6.326,6.76889,8.3977,9.94535,11.2759,12.4617,13.4577
0.436905,0.0363346,0.0936065,0.153932,0.217699,0.284029,0.352474,0.424235,0.499175,0.576683,0.656577,0.739362,0.825407,0.914256,1.00519,1.09819,1.19453,1.2933,1.39495,1.49794,1.60423,1.97225,2.35859,2.76468,3.19046,3.6348,4.09176,4.55989,5.02071,5.48409,5.9872,6.47406,6.91902,7.43426,7.90676,9.72776,11.3926,12.8574,14.0806,15.1554
0.50305,0.0446873,0.115696,0.19086,0.269113,0.349947,0.434097,0.522139,0.613076,0.70694,0.803443,0.904561,1.00794,1.11408,1.22324,1.33496,1.4505,1.56848,1.68902,1.8127,1.93855,2.3632,2.81797,3.293,3.78464,4.29167,4.80994,5.32798,5.84822,6.40492,6.95013,7.46441,8.00907,8.5485,9.03239,11.0457,12.8004,14.3901,15.6985,16.7545
0.579209,0.0544987,0.141598,0.232392,0.326262,0.42357,0.525287,0.630444,0.738563,0.850151,0.965213,1.08508,1.20674,1.33118,1.45915,1.59173,1.72598,1.86329,2.00279,2.14469,2.28961,2.78898,3.30491,3.84214,4.39726,4.96207,5.53691,6.11865,6.72494,7.31997,7.90515,8.47064,9.07408,9.63426,10.1965,12.3287,14.2259,15.8657,17.2487,18.3841
0.666899,0.0656214,0.169163,0.276367,0.387128,0.502922,0.622445,0.745421,0.871508,1.00223,1.13657,1.27464,1.41507,1.5596,1.70805,1.85855,2.01302,2.16957,2.32908,2.49329,2.65901,3.21082,3.79574,4.3968,5.01491,5.64236,6.27909,6.92606,7.57065,8.21083,8.82287,9.47618,10.1037,10.685,11.312,13.5446,15.5669,17.2696,18.7509,19.9899
